ÝL-ÝLÇE;TOPLAM;Erkek-Male;Kadýn-Female;Çocuk-Child
Kütahya;576.688;202.775;211.753;151.356
Merkez;272.513;95.821;100.064;71.523
Altýntaþ;15.835;5.568;5.814;4.156
Aslanapa;8.834;3.106;3.244;2.319
Çavdarhisar;6.110;2.148;2.244;1.604
Domaniç;14.545;5.114;5.341;3.817
Dumlupýnar;2.945;1.036;1.081;773
Emet;19.528;6.866;7.170;5.125
Gediz;49.787;17.506;18.281;13.067
Hisarcýk;11.772;4.139;4.323;3.090
Pazarlar;4.884;1.717;1.793;1.282
Simav;62.237;21.884;22.853;16.335
Þaphane;5.850;2.057;2.148;1.535
Tavþanlý;101.848;35.812;37.397;26.731
